"","ID","date","url","title","source","duplicate","body"
"100","868151680","2018-05-14","http://www.dailyexcelsior.com/police-thrash-detain-ssa-teachers-in-srinagar/","Police thrash, detain SSA teachers in Srinagar","Jammu Kashmir Latest News | Tourism | Breaking News J&K",FALSE,"Excelsior Correspondent

SRINAGAR, May 14: Police today resorted to baton charge and used water cannon against Sarva Siksha Abhiyan (SSA) teachers who were protesting for delinking of their salaries from the Central Fund.

Under the banner of Jammu and Kashmir Rehbar-e-Taleem Teachers Forum (ReTTF) hundreds of teachers from different districts of State staged a protest at Pratap Park here today. They were holding placards inscribed with demands for the delinking of their salaries from the central fund. They said over 40,000 teachers are not receiving their salaries regularly as the Government has failed to streamline their salaries.

Click here to watch video

They said that SSA teachers have not received salary for the past three-four months. ""Government is playing with the future of thousands of SSA teachers who are without any salary for last three months. This delay has badly affected our families"", a protester said.

Several protesters were bundled into police vans near Pratap Park here after they tried to march towards Residency Road, bringing the traffic to grinding halt for nearly half an hour. After stepping out of the park the police, equipped with riot gear, stopped the protestors outside the Press Enclave here, used water cannon and baton-charged the agitators to disperse them. Scenes of teachers being hit with batons and high-velocity water from water cannons were also witnessed.

Participants of the rally, who gathered outside the Pratap Park, alleged police of using force against the protestors. ""We were protesting peacefully but the police used force and did not allow us to hold a peaceful march"", a protester said.

The protesters said that they have been demanding to streamline their salaries for last several years but to no avail. ""The tall claims of the Government to regulate the SSA salaries have fallen flat as teachers have to wait for months for the release of their salaries,"" Fayaz Ahmad, a teacher from Baramulla said.

They said that there were nearly 50, 000 SSA teachers working with the Education Department. ""Almost 50% of the staff of Primary and Middle Schools is working under SSA. If the Government wants that schools should function properly it should streamline our salaries, ""Syed Muzamil, a teacher from Budgam said.

The teachers said their protest would continue until their demands are met. ""If the release of SSA salary is not streamlined soon we will intensify protest,"" a protester said."
"101","1026757848","2018-12-26","http://www.newindianexpress.com/states/andhra-pradesh/2018/dec/26/pil-in-hc-against-govts-ssa-job-plan-1916526.html","PIL in Hyderabad High Court against government's SSA job plan","The New Indian Express",FALSE,"HYDERABAD: A division bench of the Hyderabad High Court has issued notices to AP government for filing detailed counter affidavit in the PIL filed against entrusting the work to manpower supply agencies to fill various posts in Sarva Shiksha Abhiyan on outsourcing basis.

The bench was passing this order recently while considering the PIL filed by V Prasada Rao, social activist, challenging the memo issued by special chief secretary to school education on September 4 this year."
"102","1025071908","2018-12-23","http://www.newindianexpress.com/states/andhra-pradesh/2018/dec/23/somu-alleges-misuse-of--ssa-funds-1915321.html","Somu alleges misuse of  SSA funds","The New Indian Express",FALSE,"VIJAYAWADA: Alleging misuse of Sarva Shiksha Abhiyan (SSA) funds by the State government, BJP MLC Somu Veerraju has written a letter to Chief Secretary Anil Chandra Punetha on Saturday.

The BJP leader said that while the Centre had allotted '600 crore under SSA and sought utilisation certificates for half of the funds released, the State government submitted UCs for only '140 crore.

In the letter, Somu, sought the Chief Secretary's immediate intervention in the matter."
"103","1020635242","2018-12-17","http://heraldkeeper.com/market/space-situational-awareness-ssa-market-grow-cagr-6-2024-199775.html","Space Situational Awareness (SSA) Market to grow at a CAGR of 6% by 2024 - Herald Keeper","Herald Keeper",FALSE,"New York, December 17, 2018: Market Research Engine has published a new report titled as ""Space Situational Awareness (SSA) Market Size, By Object (Functional Spacecraft, Non-Functional Spacecraft, Rocket Bodies, Fragmentation Debris, Mission Related Debris), By Offering (Software, Services), By End User (Commercial, Government & Military), By Region, Market Analysis Report, Forecast 2018-2024.""

The Global Space Situational Awareness Market is expected to grow at a CAGR of 6.08% during the forecast period. Increasing demand for space situational awareness services to reduce potential hazards in space, as well as the rising need for carrying out commercial on-orbit satellite activities, are some of the factors driving the space situational awareness market. Another factor contributing to the growth of the commercial segment is the high demand for SSA for commercial applications, such as monitoring and observation of satellite operator's fleet, increasing demand for small satellite deployment, and tracking of satellite moments through their lifecycle.

Browse Full Report: https://www.marketresearchengine.com/space-situational-awareness-ssa-market

North America is holding the largest market share for space situational awareness market during the forecast period and it's expected to dominate the market throughout the forecast period.

Global Space Situational Awareness (SSA) market is segregated on the basis of object as functional spacecraft, non functional spacecraft, rocket bodies, fragmentation debris, and mission related debris. Based on offering, the global Space Situational Awareness (SSA) market is segmented in software and services. The report also bifurcates global Space Situational Awareness (SSA) market based on end user in commercial, government and military.

Global Space Situational Awareness (SSA) market report provides geographic analysis covering regions such as North America, Europe, Asia Pacific, and Rest of World. The Space Situational Awareness (SSA) market for each region is further segmented for major countries including U.S., Canada, Germany, UK, France, Italy, China, India, Japan, Brazil, South Africa and others.

Competitive Rivalry

Norstar Space Data, Schafer, Lockheed Martin are among the major players in the global Space Situational Awareness (SSA) market share. The companies are involved in several growth and expansion strategies to gain a competitive advantage. Industry participants also follow value chain integration with business operations in multiple stages of the value chain.

The Space Situational Awareness (SSA) Market has been segmented as below:

Space Situational Awareness (SSA) Market, by Object

Space Situational Awareness (SSA) Market, by Offering

Space Situational Awareness (SSA) Market, by End User

Space Situational Awareness (SSA) Market, By Region

Global Space Situational Awareness (SSA) market report scope includes detailed study covering underlying factors influencing the industry trends.

The report covers analysis on regional and country level market dynamics. The scope also covers competitive overview providing company market shares along with company profiles for major revenue contributing companies.

The report scope includes detailed competitive outlook covering market shares and profiles key participants in the global Space Situational Awareness (SSA) market share. Major industry players with significant revenue share include Polaris Alpha, Spacenav, Globvision, Schafer, Etamax Space etc.

Reasons to Buy this Report:

Request Sample Report from here: https://www.marketresearchengine.com/space-situational-awareness-ssa-market

Smart Weapons Market to grow more than at a CAGR of 8.50% by 2024

Threat Detection Systems Market to grow at a CAGR of 16% by 2024

About MarketResearchEngine.com

Market Research Engine is a global market research and consulting organization. We provide market intelligence in emerging, niche technologies and markets. Our market analysis powered by rigorous methodology and quality metrics provide information and forecasts across emerging markets, emerging technologies and emerging business models. Our deep focus on industry verticals and country reports help our clients to identify opportunities and develop business strategies."
"104","1014347563","2018-12-09","http://risingkashmir.com/news/sac-announces-bonanza-for-ssa-teachers-veterinarians","SAC announces bonanza for SSA teachers, veterinarians","RisingKashmir",FALSE,"Approves bill to tackle Benami transactions, dedicated Special Security Force for Governor

In a decision aimed at streamlining the teaching cadre in Jammu Kashmir, the State Administrative Council (SAC) under the chairmanship of Governor Satya Pal Malik approved the action pan recommended by the committee constituted vide G O No 1263-GAD of 2018 dated 13 August 2018.

The committee was mandated to devise a comprehensive strategy to review the issues of all school teachers in the School Education department including those funded under the on-going Government of India-sponsored Scheme 'Sarva Shiksha Abhiyan' (SSA) and suggest possible solutions.

Over the years, School Education department has been facing immense difficulties due to multiple cadres of teachers, requirement of additional funds to meet out salary of both SSA and RMSA teaching faculty and a host of other related issues, which were directly or indirectly impacting upon the quality of education in Government-run schools and leading to avoidable chaos and confusion among the teaching fraternity.

To address the issue in its right perspective and humanely, the State government constituted a committee vide G O No 1263-GAD of 2018, Dated 13 August 2018.

The committee submitted its recommendations in the form of an action plan to the government.

The SAC considered the departmental proposal based on the recommendations of the committee and broadly accepted the action plan proposed by the committee.

The SAC approved the creation of a separate cadre of teachers who would get the pay scale of Rs 29200-92300 (L-5) 7th Pay Commission from September 1, 2018 in the School Education department.

These posts shall be filled up 100 percent by selection out of regularized Rehbar-e-Taleem 'Teachers (RReTs) with qualification 'graduate from any recognised university'.

This cadre of teachers is created exclusively for the purpose of adjusting RReTs and would gradually get extinguished or abolished over a period of time.

The School Education department would amend the Jammu Kashmir School Education (Subordinate) Service Recruitment Rules, 2008 as may be required to give effect to this decision.

RReTs will transition into teachers as procedure laid down in the Action Plan.

The action plan envisages formal merger of 526 posts of headmasters and 3132 posts of subject-specific masters created under RMSA with headmasters and masters in the School Education department, conversion, up-gradation of existing 4522 direct quota vacant non-teaching posts in different categories as teachers, creation of 28,363 supernumerary posts of teachers with the stipulation that these supernumerary posts shall subsist till completion of appointment, transition of eligible RReTs as regular teachers, and thereafter shall cease to exist on the adjustment if these supernumerary posts against normally arising vacancies.

The School Education department has been authorised as a one-time exception to fill certain vacant posts of lecturers by promotion of eligible PG teachers and masters in the relevant disciplines to enable utilization of the resultant vacancies of teachers for appointment and transition of RReTs as teachers.

This initiative is being taken in the larger interest of the teaching community and purely as a welfare measure.

The School Education department has been granted one-time exemption for making regularization, confirmation, and promotion of the officers (backlog and fresh) in respect of each gazetted category without referring the cases to the JKPSC and DPC.

The 4522 posts of non-teaching staff shall be restored to their original position as and when they become available after adjusting and subsuming all the supernumerary posts.

The School Education department would encourage such RReTs as do not possess the requisite qualification to acquire the same within a specific timeframe so as to up-scale them as regular teachers.

Further, all vacancies of lecturers and teachers referred to PSC and SSB where advertisement notices have not been issued or selection process has not been initiated or written test has not been conducted as on 07.12.2018, shall stand withdrawn.

However, this would not apply to the posts for which selection lists have been published or where document verification is in process.

The SAC directed that a Committee of Officers under the Administrative Secretary, School Education department with Director, School Education Kashmir and Jammu, representatives of General Administration and Finance Department not below the rank of Additional Secretary to Government or equivalent level would oversee the entire process of appointment and transition of RReTs as teachers.

The School Education department would nominate a nodal officer to maintain a complete record of the vacancies of the lecturers and teachers or in the non-teaching category to ensure proper accounting of the posts created, converted, reverted, supernumerary posts, their adjustment against regular posts, vacancies arising from time to time.

The action plan also envisages creation of a Human Resource Management (HRM) Branch in the School Education department, civil secretariat to deal with Human Resource Management (HRM).

The Committee of Officers constituted vide Government Order No 1263-GAD of 2018 dated 13 August 2018 will also examine the cases of 7706 under-graduate teachers who do not possess the qualification as 'Graduate' for their appointment and transition as regular teachers.

The committee would submit its report to the government within a period of one month.

The landmark decision will enable streamlining the cadre of RReTs by transitioning them in the regular cadre of teachers and meeting the salary deficit of SSA and RMSA teachers, which is over Rs 1400 crore per annum, out of the State budget.

Thus all teachers will henceforth get regular monthly salary on time consequent to the assimilation of various cadres of teachers into one regular teaching cadre.

This will result in greater accountability, discipline and capacity building of teachers and improve the quality of education in the State.

Meanwhile, to fast track recruitment and bring in more transparency in the overall selection process, the SAC approved the proposal of dispensing with oral test for selection against the newly created posts of Veterinary Assistant Surgeons.

The recruitment to these posts will now be done on the basis of written tests only.

The SAC in its meeting held on 12 September 2018 had accorded sanction to the creation of 400 posts of Veterinary Assistant Surgeons in the Animal & Sheep Husbandry Department for selection through JKPSC in a phased manner.

The SAC had further asked the Animal & Sheep Husbandry Department to examine as to whether the recruitment against these newly created posts can be conducted on the basis of written tests only.

The fast-track and transparent recruitment to these posts will fulfil the long pending demand for regularization of Animal & Sheep Husbandry trial centres besides infusing fresh professional talent in the Department for maintaining health and welfare of animals, thereby, enhancing mutton, milk and poultry production in the State.

The SAC also approved the Code of Civil Procedure (Amendment) Bill- 2018.

The Bill seeks to introduce such provisions in the Code of Civil Procedure, Samvat, 1977 which will help in the disposal of cases in a time-bound manner.

These provisions relate to fixing time-frame for filing a written statement and forfeiture of right of defendant to file written statements after the prescribed period.

Besides provision regarding costs have been attuned and a new provision of case hearing management is being introduced.

These modifications are aimed at speedy disposal of civil cases in courts which tend to linger on unnecessarily. Litigants will save time and costs.

The SAC also approved the 'Jammu and Kashmir Prohibition of Benami Property Transactions Bill, 2018'.

The Bill is a comprehensive law aimed at tackling Benami transactions in the State. The Bill provides for creation of the requisite administrative structure for enforcement of the law and empowers the Designated Authorities to attach and confiscate any property which is held to be Benami.

Panel provisions incorporated in the Act provide for imprisonment of persons found guilty of offence of Benami transactions which shall not be less than one year extendable to seven years, besides fine equivalent to 25% of the market value of the property can also be imposed.

The SAC also approved the 'Jammu and Kashmir Governor's Special Security Force Bill, 2018''.

The Bill contains provisions related to the constitution and regulation of a separate security force in the State of Jammu and Kashmir for providing proximate security to the Governor, members of his immediate family and matters connected therewith.

The legal framework related to constitution and regulation of a separate security force in the State of Jammu and Kashmir for providing proximate security to the Chief Minister, members of his immediate family and other connected matters, is contained in the Jammu and Kashmir Special Security Group Act, 2000. There is no provision contained in the said Act related to matters, for providing proximate security to the Governor of State and his immediate family members. A need has been felt to have an effective mechanism in place for constitution and regulation of a separate security force in the State of Jammu and Kashmir for providing proximate security to the Governor and his family members."
"105","1010949760","2018-12-05","http://www.theshillongtimes.com/2018/12/05/ssa-teachers-request-clearance-of-pending-dues-before-christmas/","SSA teachers request clearance of pending dues before Christmas","theshillongtimes.com",FALSE,"TURA: With Christmas festivities just round the corner, teachers under the banner of the All Garo Hills SSA School Teachers' Association (AGHSSASTA) have resumed their demand for release of their pending salaries and arrears.

In their memorandum to Education Minister, Lahkmen Rymbui, the teachers demanded the release of their pending salaries from the month of September to November including December 2018 with immediate effect.

Besides pending salaries, the teachers are yet to receive their pending arrears for the years 2016-17 as per PAB. Reminding that repeated petitions have already been submitted to concerned authorities, the teachers sought that both their pending salaries and arrears are released before December 13 this year.

According to the teachers, the State Project Director (SPD) during a meeting recently assured them that their pending dues would be cleared before Christmas. The teachers urged the Education Minister to follow up the matter to ensure that the assurance is kept. The teachers also threatened to launch a democratic protest all over Garo Hills if their demand is not fulfilled."
"106","1010425503","2018-12-04","http://meghalayatimes.info/index.php/front-page/44256-unpaid-salaries-to-4th-ssa-teachers-irks-ssasta-wz","Unpaid salaries to 4th SSA teachers irks SSASTA - WZ","Meghalaya Times",FALSE,"TURA, Dec 04: Teachers of the Dadenggre sub division, under the aegis of the SSA School Teachers Association (West Zone), have expressed their displeasure at the non release of 2 months salaries to the SSA 4th teachers.

The teachers are yet to be paid salaries for the months of June and July which allegedly have been withheld by the SDSEO or Joint DMC while all other 4th teachers have already been paid. The money was apparently released by the state on July 24.

""Teachers for the same district (West Garo Hills) in places like Tura, Rongram, Dalu etc had already got their salaries in the last week of July 2018,"" said joint secretary of the association, Sungra D Sangma.

""We deeply express our anger on the matter and want to know why we are always getting late release of 4th teachers' salaries by the SDSEO/Jt DMC for the sub division while the money is being released by the state's education department,"" he added.

The association urged the higher authorities of education department to look into the matter and take necessary steps to release the salaries at the earliest."
"107","1007536903","2018-11-30","http://risingkashmir.com/news/how-long-shall-ssa-teachers-suffer","How long shall SSA teachers suffer?","RisingKashmir",FALSE,"Official promises, written orders, verbal assurances, committee formations, reports and other things but the miseries and agonies of SSA teachers are yet to culminate.The incumbent governor, his advisors and the other higher ranked officials have taken us on a ride again.

The month long hunger strike at Jammu and Srinagar had awakened a ray of hope when the teacher leadership was called to Rajbhawan by the governor administration and it was officially ordered by the incumbent governor that September Salary would be released as per 7th pay commission recommendations.Nothing substantial happened.SSA teachers have been waiting since then.Almost two months have passed but their fate didn't change.

Today, I won't write about the contribution, merit, genuineness and legitimacy of their case rather would like to highlight the failure of administration to deliver justice in their case.

Is it official callousness or administrative failure? Who shall be held responsible? Whom to blame? According to reliable sources, the incumbent governor administration had tried its level best to deprive the SSA teachers from the benefits of 7th pay commission and other service privileges but the genuineness and legitimacy of the case didn't allow them to succeed in their designs.

Now, when the genuineness and legitimacy is proven, when there is no doubt about the legitimacy of being a part of state establishment but still then, the resolution of the issue seems to be a distant dream though it has been promised by the people at the helm of affairs.

Treacherous approach of authorities has diminished the hopes of teachers which had risen in September 2018.

How can masses and authorities expect the best from these teachers who have been starving? Whose children and parents are craving for different necessities of life?

I wonder, if authorities consider these teachers as human beings! They are not angels. They do have needs like you and other people. Their children feel the pangs of cold in this chilly winter. Their parents too need medicine.They too have to visit their relatives for different purposes like marriages, mournings etc.

The harshest season of the year has already caught us all tightly.Who knows not the necessary extra expenses of winter? Woollen garments, fuel and some other necessary stuff can't be compromised with but these teachers are cursing their fates for being employees. Piled up miseries have put this community of teachers in virtual trauma.

I won't beg before authorities on behalf of these teachers but I would call it an administrative failure to complicate the issue through deceptive means.

World is making big strides in development, progress and prosperity because these advanced nations have developed and advanced educational systems where teacher is at the top of the hierarchy but our case is totally different and contrasting.

Our people at the helm of affairs too wish to change the system rather brag to make exemplary changes in the system, but ironically, always look for cheap and treacherous means to deny teachers their hard-earned salaries.

Appreciation, acknowledgement and perks for our teachers are not in syllabi of our system. If there is anything for them, it is denial and deprivation.

Our teacher is still 'poor master'. Our public and official perception is still outmoded about our teacher, then how can we expect him to be an European or American teacher who is the virtual king of the country.

Our teacher's American and European counterpart is 24 hour teacher with all the comforts under his feet.He spends his time in the library, equipping himself with the latest trends in academics but our teacher is forced to look for a part time job to provide his family mouthful of meals.

Everyone is cursing the teacher for the messy situation in our educational system but no one dares to look into the reasons that have left the system in the dilapidated conditions.

Let people at the helm of affairs change their attitude towards teachers, I promise miraculous changes in the system but you are playing delaying tactics with your teachers which is sure to spoil the system. Trade union leaders have once again decided to switch over to confrontation path.

Will it yield authorities anything? No, not at all.It will only hit the already poor academic standards of the downtrodden children of our society.Is it a conspiracy against our poor children or is it your callousness towards the teachers of our society.

People at the helm of affairs have adopted silence over this burning issue.It can lead us nowhere as a nation.Strikes and sit-in protests will surely halt our academic progress which is sure to leave us crippled and lame as a nation.

Governor and his team was believed to break the ice because they don't need any vote bank politics to score political mileage but this delaying tactic has dejected the teachers to the extent that they are looking for alternate jobs to feed their children and families.

Is it an achievement to celebrate or a blot to be ashamed off.Yes, it is undoubtedly an ugly blot on our collective conscience because the most respectable working class has been left at the mercy of God to starve. Isn't it the violation of labour rights?

A labourer who works sincerely should be paid in time.Even religious scriptures have laid emphasis on it to pay off a laborer before his sweat dries up.

I pity our administrators who can spend hefty amounts on unimportant things but can't pay their servants.

Now, the onus is on the people at the helm of affairs.Given the legitimacy of the issue, it must be resolved once for all so that our teachers can concentrate on their job without resorting to the path of confrontation.Any further delay can turn things uglier.

Administration must care for its own credibility. Governor's word is equal to a thousand orders but our people are probably made up of cheap stuff who neither respect their own promises nor the words of others.

Hope is life and we live in hope, and let us hope the issue is resolved very soon to give this big community of teachers the much needed relief.

Believe me, official insensitivity and delaying policy in the case has put these teachers to enormous humiliation and anxiety.

Wish our advisors and other higher rung officers would act like true statesmen to solve the grave issue."
"108","1004516464","2018-11-27","https://kashmirobserver.net/2018/opinion/how-long-shall-ssa-teachers-suffer-38212","How Long Shall SSA Teachers Suffer?","Kashmir Observer",FALSE,"Official promises, written orders, verbal assurances, committee formations, reports and other things but the miseries and agonies of SSA teachers are yet to culminate.The incumbent governor, his advisors and the other higher ranked officials have taken us on a ride again. The month long hunger strike at Jammu and Srinagar had awakened a ray of hope when the teacher leadership was called to Raj Bhawan by the governor administration and it was officially ordered by the incumbent governor that September Salary would be released as per 7th pay commission recommendations. Teachers had celebrated it as the victory but the pestle didn't leave Lalded. Nothing substantial happened.SSA teachers have been waiting since then. Almost two months have passed but their fate didn't change.

Today, I won't write about the contribution, merit, genuineness, and legitimacy of their case rather would like to highlight the failure of administration to deliver justice in their case.Is it official callousness or administrative failure? Who shall be held responsible? Whom to blame? According to reliable sources, the incumbent governor administration had tried its level best to deprive the SSA teachers from the benefits of 7th pay commission and other service privileges but the genuineness and legitimacy of the case didn't allow them to succeed in their designs.

Now, when the genuineness and legitimacy is proven, when there is no doubt about the legitimacy of being a part of state establishment but still then, the resolution of the issue seems to be a distant dream though it has been promised by the people at the helm of affairs. The treacherous approach of authorities has diminished the hopes of teachers which had risen in September 2018.

How can masses and authorities expect the best from these teachers who have been starving? Whose children and parents are craving for different necessities of life? I wonder, if authorities consider these teachers as human beings ! They are not angels. They do have needs like you and other people. Their children feel the pangs of cold in this chilly winter. Their parents too need medicine.They too have to visit their relatives for different purposes like marriages, mournings etc... The harshest season of the year has already caught us all tightly.Who knows not the necessary extra expenses of winter ? Woolen garments, fuel and some other necessary stuff can't be compromised with but these teachers are cursing their fates for being employees. Piled up miseries have put this community of teachers in virtual trauma.

I won't beg before authorities on behalf of these teachers but I would call it an administrative failure to complicate the issue through deceptive means.The world is making big strides in development, progress and prosperity because these advanced nations have developed and advanced educational systems where teacher is at the top of the hierarchy but our case is totally different and contrasting. Our people at the helm of affairs too wish to change the system rather brag to make exemplary changes in the system, but ironically, always look for cheap and treacherous means to deny teachers their hard-earned salaries. Appreciation, acknowledgment and perks for our teachers are not in syllabi of our system. If their is anything for them , it is denial and deprivation. Our teacher is still ' poor master ' ( Bichoar Masterji ).Our public and official perception is still outmoded about our teacher, then how can we expect him to be an European or American teacher who is the virtual king of the country.Our teacher's American and European couterpart is 24 hour teacher with all the comforts under his feet.He spends his time in the library, equipping himself with the latest trends in academics but our teacher is forced to look for a part time job to provide his family mouthful of meals.Everyone is cursing the teacher for the messy situation in our educational system but no one dares to look into the reasons that have left the system in the dilapidated conditions.

Let people at the helm of affairs change their attitude towards teachers, I promise miraculous changes in the system but you are playing delaying tactics with your teachers which is sure to spoil the system. Trade union leaders have once again decided to switch over to confrontation path.Will it yield authorities anything ? No, not at all.It will only hit the already poor academic standards of the downtrodden children of our society.Is it a conspiracy against our poor children or is it your callousness towards the teachers of our society.

People at the helm of affairs have adopted silence over this burning issue.It can lead us nowhere as a nation.Strikes and sit-in protests will surely halt our academic progress which is sure to leave us crippled and lame as a nation.Governor and his team was believed to break the ice because they don't need any vote bank politics to score political mileage but this delaying tactic has dejected the teachers to the extent that they are looking for alternate jobs to feed their children and families.

Is it an achievement to celebrate or a blot to be ashamed of.Yes, it is undoubtedly an ugly blot on our collective conscience because the most respectable working class has been left at the mercy of God to starve. Isn't it the violation of labour rights? A labourer who works sincerely should be paid in time.Even religious scriptures have laid emphasis on it to pay off a laborer before his sweat dries up.I pity our administrators who can spend hefty amounts on unimportant things but can't pay their servants.

Now, the onus is on the people at the helm of affairs.Given the legitimacy of the issue, it must be resolved once for all so that our teachers can concentrate on their job without resorting to the path of confrontation.Any further delay can turn things uglier.Administration must care for its own credibility. Governor's word is equal to a thousand orders but our people are probably made up of cheap stuff who neither respect their own promises nor the words of others.Hope is life and we live in hope, and let us hope the issue is resolved very soon to give this big community of teachers the much needed relief.Believe me, official insensitivity and delaying policy in the case has put these teachers to enormous humiliation and anxiety.Wish our adivisors and other higher rung officers would act like true statesmen to solve the grave issue. Shaayad Ki Uttar Jaayay Tairay Dil Mei'n Mairee Baat"
"109","995552824","2018-11-15","http://www.newindianexpress.com/states/karnataka/2018/nov/15/ssa-fund-crunch-deprives-karnataka-government-school-students-of-uniforms-1898447.html","SSA fund crunch deprives Karnataka government school students of uniforms","The New Indian Express",FALSE,"BENGALURU: Students studying in state government schools will not get a second set of uniforms for the coming academic year. The Sarva Siksha Abhiyan (SSA) has decided not to provide a second set due to shortage of funds.

All these years students used to get two sets of uniforms, one from State Department of Public Instruction and second one from the SSA. Now, due to fund crunch, the SSA has decided not to provide a second set and students will have to manage with only one.

SSA sources said Centre has only released 34% of total funds allocated to the state to run schemes under SSA. Considering this shortage, the officials at SSA have taken a decision to lower the supply of uniforms for the next academic year.

Funds allocated from the Centre under SSA was Rs 1,700 crore for 2018-19, of which it has only received Rs 577 crore. ""Even of this Rs 577 crore, what we got only Rs 370 crore in the first phase. We need Rs 328 crore just to pay the salaries of SSA and Rashtriya Madhyamik Siksha Abhiyan teachers,"" said a senior official of SSA.

Following the fund crunch, SSA officials have written a letter to the state government requesting additional funds apart from the committed share. ""Of the funds allocated to SSA, 60% comes from Centre and 40% from the state. This time we have requested the state to release additional funds in order to continue programmes,"" explained the official. However, they have not received any communication from the government about their request.

According to the details available, SSA spends Rs 200 per student to provide uniforms, and the total budget needed to supply uniforms is Rs 80 crore. Centre used to provide funds to supply uniforms for girls and students belonging to SC/ST and BPL families from class 1 to 8."
"110","990710040","2018-11-09","http://www.assamtribune.com/scripts/detailsnew.asp?id=nov1018%2Foth058","Nagaland SSA teachers unpaid for 5 months","Assam Tribune",FALSE,"The agreement included finding a mechanism for timely release of SSA teachers' salaries. The Association said following a request from the School Education Department, it had earlier assisted at the School Education Directorate for 24 days right after discharging of school duties on weekdays as well as relinquishing holidays on non-working days to speed up the process for the implementation of the 7th revision of pay and timely release of the salaries. In spite of all this, the Association rued that the SSA teachers have not been paid salaries for five months.

The Association urged the State Government to release the pending salaries at the earliest. It claimed that the sanctioned salary bill for three months (June to August 2018) had been lying at the Directorate of School Education since October 27.

In the meantime, the NSSATA thanked the State Government for taking the decision to bring the SSA and Rashtriya Madhyamik Shiksha Abhiyan teachers of 2010 and 2013 ""into the mainstream of the School Education Cadre"".

Stating that the decision has brought much relief to the teachers, the Association urged the department to take up the matter with utmost priority."
"111","989827154","2018-11-08","http://www.easternmirrornagaland.com/ssa-teachers-patiently-waiting-for-salary/","SSA teachers 'patiently waiting' for salary","Eastern Mirror",FALSE,"Dimapur, Nov. 8 (EMN): Members of the 2010 and 2013 batch of Nagaland Sarva Shiksha Abhiyan Teachers' Association (NSSATA) are insisting that the government keep its word viz. and 'agreement' that was made with the government concerning disbursal of the teachers' salary.

Interestingly, the organisation disclosed that the 'sanctioned salary bill' for three months had been at the directorate of School Education since October 27 2018.

The group issued a press release on Thursday stating that it was 'patiently waiting' for a solution from the government of Nagaland.

The statement read: 'The Nagaland Sarva Shiksha Abhiyan Teachers' Association (NSSATA) 2010 and 2013 batch, as per the agreement made with the government of Nagaland in the presence of the Naga Students' Federation and the Eastern Naga Students' Federation, on the 12th of June 2018 is patiently waiting for a positive and a permanent solution to end the grievances which the teachers have been facing since the time of appointment.'

According to the organisation, the agreement included finding a mechanism 'for timely release of salaries.' Besides, it stated, the association had assisted the directorate for 24 days on the request of the department, 'right after discharging our school duties on weekdays as well as relinquishing our holidays on non working days to speed up the process for the implementation of 7th ROP and timely release of the salaries.'

In spite of all these, the press release stated, the teachers have not been paid for five months i.e., June to October 2018.

'Therefore, the NSSATA appeals to the government of Nagaland to release the five months pending salary at the earliest. The teachers have been discharging their duties sincerely even though salaries are not being paid and the inability of the government to release the salaries on time is relieving the teachers of their justified entitlement.'

The organisation disclosed that the 'sanctioned salary bill' for three months had been at the directorate of School Education.

'The sanctioned salary bill for three months i.e., June to August 2018 has been at the directorate of School Education since 27th of October 2018,' the press release stated. The association has requested the department to release the salaries at the earliest 'for the sake of the teachers.'

That said, the NSSATA 'acknowledged' the government of Nagaland for taking the decision to bring the SSA and RMSA teachers of 2010 and 2013 ""into the mainstream of the School Education cadre.""

'This decision has brought much relief to the teachers and the association implores the department to initiate the matter with utmost priority,' the group added."
"112","987982360","2018-11-06","http://www.newindianexpress.com/cities/kochi/2018/nov/05/pre-schooling-ssa-project-set-for-launch-1894675.html","Pre-schooling: SSA project set for launch","The New Indian Express",FALSE,"KOCHI: The Sarva Shiksha Abhiyan's (SSA) new project to improve pre-school education system in the district will be implemented in 30 government schools during the inaugural phase.The schools, to be shortlisted from 30 panchayats across Ernakulam, will be retained as lead schools for coordinating with the other schools, the District Information Office said in a release.

The lead schools will be upgraded as the model pre-schools and training centres in the future. In the first phase, the pre-schools will be turned into child-friendly schools.The Education Department has drawn up the list of various programmes focusing on the over all development of the students to be conducted at the schools.A workshop for the project's implementation and readying the master plan will be held at BRC Piravom. The five day-long workshop will conclude on Friday."
"113","982614698","2018-10-31","http://www.theshillongtimes.com/2018/10/31/ssa-teachers-call-on-cm-seeking-pay-hike-regularisation/","SSA teachers call on CM seeking pay hike, regularisation","theshillongtimes.com",FALSE,"TURA: SSA school teachers from Garo Hills have submitted a memorandum to Chief Minister Conrad Sangma urging him to look into the various grievances being faced by them in the region.

The memorandum was handed over to Kharkutta MLA, Rupert Momin to be forwarded to the CM during the 7th Annual General Conference of the All Garo Hills SSA School Teachers' Association (AGHSSASTA) held at Dalu on October 26 and 27. The MLA is said to have assured at the time to take up the matter with the Chief Minister.

Among other demands made in the memorandum, the teachers sought the enhancement of their salaries to Rs 45,000/- per month at par with other school teachers as well as its disbursement each month and not once every 5 or 6 months as is presently being done."
